variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags,ins_number,compound_name,nutrient_class,dairy_product_subtype,milling_grade,oil_fraction,protein_fraction,sugar_form,language_tag,f_revised,variant_signal_class
desi ghee,milk,churning|clarification,fat fraction,lipid base,,,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False,,,,,,,,,,lipid base,"transliteration_signal, form_signal"
ice cream,milk,pasteurization,dense block,base ingredient,chilling,,foaming agent,0.48,0.38,0.12,0.48,0.38,0.725,0.306,0.548,2,False,False,,,,frozen_dessert,,,,,,processed_ingredient,form_signal
milk cream,milk,churning,fat fraction,lipid base,,,,0.45,0.72,0.22,0.45,0.72,0.22,0.439,0.439,2,False,False,,,,,,,,,,lipid base,"canonical_form, form_signal"
sour cream,milk,fermentation,dense block,base ingredient,churning,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,fermented_cream,,,,,,processed_ingredient,"form_signal, grade_signal"
milk solid,milk,,powder,base ingredient,?spray drying,concentrate,,0.0,0.42,0.12,0.42,0.42,0.12,0.174,0.3,1,True,True,,,,,,,,,,processed_ingredient,"orthographic_noise, canonical_form, form_signal"
milksolids,milk,,powder,base ingredient,?spray drying,concentrate,,0.0,0.42,0.12,0.42,0.42,0.12,0.174,0.3,1,True,True,,,,,,,,,,processed_ingredient,"orthographic_noise, canonical_form"
toned milk,milk,,,base ingredient,pasteurization,,,0.0,0.0,0.12,0.48,0.0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal, process_signal, grade_signal"
sweet whey,milk,,whey powder,base ingredient,,,,0.0,0.52,0.12,0.0,0.52,0.12,0.204,0.204,1,False,False,,,,,,,,,,processed_ingredient,"form_signal, grade_signal"
milk powder,milk,,powder,base ingredient,?spray drying,whey powder,,0.0,0.42,0.12,0.42,0.52,0.12,0.174,0.33,1,True,True,,,,,,,,,,processed_ingredient,"canonical_form, form_signal"
milk solids,milk,,powder,base ingredient,?spray drying|concentration,concentrate,,0.0,0.42,0.12,0.48,0.42,0.12,0.174,0.318,1,True,True,,,,,,,,,,processed_ingredient,"orthographic_noise, canonical_form, form_signal"
whey powder,milk,,whey powder,base ingredient,,,,0.0,0.52,0.12,0.0,0.52,0.12,0.204,0.204,1,False,False,,,,,,,,,,processed_ingredient,form_signal
skimmed milk,milk,skim/defatted meal,,base ingredient,,,,0.0,0.0,0.12,0.0,0.0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal, process_signal, grade_signal"
buffalo milk,buffalo milk,,,base ingredient,pasteurization,,,0.0,0.0,0.12,0.48,0.0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal, grade_signal"
whey protein,milk,,protein concentrate,base ingredient,,whey powder,,0.0,0.74,0.12,0.0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,whey_concentrate,,,processed_ingredient,"orthographic_noise, form_signal"
white butter,milk,churning,fat fraction,lipid base,,,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False,,,,,,,,,,lipid base,"form_signal, grade_signal"
butter cream,milk,churning,fat fraction,lipid base,,,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False,,,,,,,,,,lipid base,form_signal
paneer dices,milk,fermentation,dense block,base ingredient,,cut/sliced pieces,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,paneer,,,,,,processed_ingredient,"transliteration_signal, form_signal"
milk protein,milk,,protein concentrate,base ingredient,,protein isolate,,0.0,0.74,0.12,0.0,0.78,0.12,0.27,0.282,1,False,False,,,,,,,total_milk_protein,,,processed_ingredient,"canonical_form, form_signal"
whey proteins,milk,,protein concentrate,base ingredient,,whey powder,,0.0,0.74,0.12,0.0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,whey_concentrate,,,processed_ingredient,"orthographic_noise, form_signal"
whey peptides,milk,?hydrolysis,protein isolate,base ingredient,,whey powder,,0.6,0.78,0.12,0.6,0.78,0.12,0.462,0.462,2,False,True,,,amino_acid,,,,,,,health_supplement,form_signal
paneer cheese,milk,coagulation,dense block,base ingredient,,,,0.0,0.38,0.12,0.0,0.38,0.12,0.162,0.162,1,False,False,,,,paneer,,,,,,processed_ingredient,"transliteration_signal, form_signal"
cheese powder,milk,drying,powder,base ingredient,,,flavouring agent,0.42,0.42,0.12,0.42,0.42,0.675,0.3,0.522,2,False,False,,,,,,,,,,processed_ingredient,form_signal
yogurt powder,milk,fermentation,powder,base ingredient,?spray drying,,,0.56,0.42,0.12,0.56,0.42,0.12,0.342,0.342,2,False,True,,,,,,,,,,processed_ingredient,"orthographic_noise, redundant_variant, form_signal"
milk products,milk,,,base ingredient,,dense block|powder|fat fraction,,0.0,0.0,0.12,0.0,0.72,0.12,0.048,0.264,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal"
rennet casein,milk,,protein isolate,base ingredient,,,,0.0,0.78,0.12,0.0,0.78,0.12,0.282,0.282,1,False,False,,,,,,,casein,,,fermentation_agent,form_signal
yogurt powder,milk,fermentation,powder,base ingredient,?spray drying,,,0.56,0.42,0.12,0.56,0.42,0.12,0.342,0.342,2,False,True,,,,,,,,,,processed_ingredient,"orthographic_noise, redundant_variant, form_signal"
cultured cream,milk,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,fermented_cream,,,,,,fermentation_agent,"form_signal, process_signal"
snf toned milk,milk,,powder,base ingredient,,concentrate,,0.0,0.42,0.12,0.0,0.42,0.12,0.174,0.174,1,False,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal, process_signal, grade_signal"
cooking butter,milk,churning,fat fraction,lipid base,,,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False,,,,,,,,,,lipid base,form_signal
cottage cheese,milk,,dense block,base ingredient,fermentation,,,0.0,0.38,0.12,0.56,0.38,0.12,0.162,0.33,1,True,False,,,,soft_cheese,,,,,,processed_ingredient,"form_signal, grade_signal"
cheddar cheese,milk,,dense block,base ingredient,fermentation,,,0.0,0.38,0.12,0.56,0.38,0.12,0.162,0.33,1,True,False,,,,hard_cheese,,,,,,processed_ingredient,form_signal
paneer protein,milk,,protein concentrate,base ingredient,,,,0.0,0.74,0.12,0.0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,casein,,,processed_ingredient,"transliteration_signal, form_signal"
condensed milk,milk,,concentrate,base ingredient,concentration,,,0.0,0.4,0.12,0.48,0.4,0.12,0.168,0.312,1,True,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal, process_signal"
full cream milk,milk,,,base ingredient,pasteurization,,,0.0,0.0,0.12,0.48,0.0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal, grade_signal"
a2 cow milk fat,milk,churning|clarification,fat fraction,lipid base,,,,0.55,0.72,0.22,0.55,0.72,0.22,0.469,0.469,2,False,False,,,,,,,,,,lipid base,"canonical_form, form_signal, grade_signal"
carrier lactose,milk,,crystalline chemical,carrier,,powder,bulking agent,0.0,0.98,0.94,0.0,0.98,0.94,0.67,0.67,2,False,False,,,,,,,,,,carrier,form_signal
milk components,milk,fractionation,,base ingredient,,concentrate|powder,,0.76,0.0,0.12,0.76,0.42,0.12,0.276,0.402,1,True,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal"
milk flavouring,milk,,extract/oleoresin,flavouring agent,,,taste profile / spice,0.0,0.86,0.675,0.0,0.86,0.675,0.528,0.528,2,False,False,,,,,,,,,,flavouring agent,"canonical_form, form_signal"
micellar casein,milk,,protein isolate,base ingredient,,,,0.0,0.78,0.12,0.0,0.78,0.12,0.282,0.282,1,False,False,,,,,,,casein,,,processed_ingredient,form_signal
dried whole milk,milk,drying,powder,base ingredient,,,,0.42,0.42,0.12,0.42,0.42,0.12,0.3,0.3,2,False,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal, process_signal, grade_signal"
butter from milk,milk,churning,fat fraction,lipid base,,,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False,,,,,,,,,,lipid base,"canonical_form, form_signal"
pasteurized milk,milk,pasteurization,,base ingredient,,,,0.48,0.0,0.12,0.48,0.0,0.12,0.192,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal, process_signal"
processed cheese,milk,,dense block,base ingredient,,,,0.0,0.38,0.12,0.0,0.38,0.12,0.162,0.162,1,False,False,,,,hard_cheese,,,,,,processed_ingredient,"form_signal, process_signal"
clarified butter,milk,clarification|churning,fat fraction,lipid base,,,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False,,,,,,,,,,lipid base,"form_signal, process_signal"
sodium caseinate,milk,,protein concentrate,base ingredient,,,emulsifier,0.0,0.74,0.12,0.0,0.74,0.825,0.27,0.552,1,True,False,,,,,,,casein,,,processed_ingredient,grade_signal
whole milk powder,milk,drying,powder,base ingredient,,,,0.42,0.42,0.12,0.42,0.42,0.12,0.3,0.3,2,False,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal, grade_signal"
camel milk powder,camel milk,drying,powder,base ingredient,,,,0.42,0.42,0.12,0.42,0.42,0.12,0.3,0.3,2,False,False,,,,,,,,,,processed_ingredient,"form_signal, grade_signal"
standardised milk,milk,pasteurization,,base ingredient,,,,0.48,0.0,0.12,0.48,0.0,0.12,0.192,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, redundant_variant, canonical_form, form_signal, process_signal"
double toned milk,milk,,,base ingredient,,skim/defatted meal,,0.0,0.0,0.12,0.0,0.55,0.12,0.048,0.213,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal, process_signal, grade_signal"
standardised milk,milk,,,base ingredient,pasteurization,,,0.0,0.0,0.12,0.48,0.0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, redundant_variant, canonical_form, form_signal, process_signal"
standardized milk,milk,,,base ingredient,pasteurization,,,0.0,0.0,0.12,0.48,0.0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form, form_signal, process_signal"
calcium caseinate,milk,,protein concentrate,base ingredient,,,,0.0,0.74,0.12,0.0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,casein,,,processed_ingredient,"grade_signal, fortification_signal"
sweet cream powder,milk,,powder,base ingredient,,,,0.0,0.42,0.12,0.0,0.42,0.12,0.174,0.174,1,False,False,,,,,,,,,,processed_ingredient,"form_signal, grade_signal"
dried skimmed milk,milk,drying|skim/defatted meal,powder,base ingredient,,,,0.42,0.42,0.12,0.42,0.42,0.12,0.3,0.3,2,False,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal, process_signal, grade_signal"
proteins from whey,milk,,protein concentrate,base ingredient,,whey powder,,0.0,0.74,0.12,0.0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,,,,processed_ingredient,form_signal
clarified milk fat,milk,clarification,fat fraction,lipid base,churning,,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False,,,,,,,,,,lipid base,"canonical_form, form_signal, process_signal"
milk fat desi ghee,milk,churning|clarification,fat fraction,lipid base,,,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False,,,,,,,,,,lipid base,"transliteration_signal, canonical_form, form_signal"
milk solids casein,milk,,protein concentrate,base ingredient,,powder,,0.0,0.74,0.12,0.0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,casein,,,processed_ingredient,"canonical_form, form_signal"
skimmed milk powder,milk,skim/defatted meal,powder,base ingredient,,,,0.0,0.42,0.12,0.0,0.42,0.12,0.174,0.174,1,False,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal, process_signal, grade_signal"
partly skimmed milk,milk,skim/defatted meal,,base ingredient,,,,0.0,0.0,0.12,0.0,0.0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal, process_signal, grade_signal"
milkotin milk solids,milk,,powder,base ingredient,?spray drying|concentration,concentrate,,0.0,0.42,0.12,0.48,0.42,0.12,0.174,0.318,1,True,True,,,,,,,,,,processed_ingredient,"canonical_form, form_signal"
dahi starter culture,milk,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,fresh_curd,,,,,,fermentation_agent,"transliteration_signal, form_signal"
cottage cheese chena,milk,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,soft_cheese,,,,,,processed_ingredient,"form_signal, grade_signal"
pasturised toned milk,milk,pasteurization,,base ingredient,,,,0.48,0.0,0.12,0.48,0.0,0.12,0.192,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form, form_signal, process_signal, grade_signal"
pasteurised amul milk,milk,pasteurization,,base ingredient,,,,0.48,0.0,0.12,0.48,0.0,0.12,0.192,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal, process_signal"
indian cottage cheese,milk,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,soft_cheese,,,,,,processed_ingredient,"form_signal, grade_signal"
paneer cottage cheese,milk,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,paneer,,,,,,processed_ingredient,"transliteration_signal, form_signal, grade_signal"
romano cheese enzymes,milk,fermentation,,base ingredient,,concentrate,,0.56,0.0,0.12,0.56,0.4,0.12,0.216,0.336,1,True,False,,,,hard_cheese,,,,,,fermentation_agent,form_signal
ghee clarified butter,milk,churning|clarification,fat fraction,lipid base,,,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False,,,,,,,,,,lipid base,"transliteration_signal, form_signal, process_signal"
pasteurised toned milk,milk,pasteurization,,base ingredient,,,,0.48,0.0,0.12,0.48,0.0,0.12,0.192,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form, form_signal, process_signal, grade_signal"
standardized milk curd,milk,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,fresh_curd,,,,,,processed_ingredient,"canonical_form, form_signal, process_signal"
marinated paneer dices,milk,,dense block,base ingredient,,cut/sliced pieces,,0.0,0.38,0.12,0.0,0.38,0.12,0.162,0.162,1,False,False,,,,paneer,,,,,,processed_ingredient,"transliteration_signal, form_signal"
condensed skimmed milk,milk,,concentrate,base ingredient,,,,0.0,0.4,0.12,0.0,0.4,0.12,0.168,0.168,1,False,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal, process_signal, grade_signal"
reconstituted skim milk,milk,,,base ingredient,,,,0.0,0.0,0.12,0.0,0.0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal, process_signal, grade_signal"
whey protein hydrolsate,milk,?hydrolysis,protein concentrate,base ingredient,,whey powder,,0.6,0.74,0.12,0.6,0.74,0.12,0.45,0.45,2,False,True,,,,,,,whey_hydrolysate,,,processed_ingredient,form_signal
edible sodium caseinate,milk,,protein isolate,base ingredient,,powder,emulsifier,0.0,0.78,0.12,0.0,0.78,0.825,0.282,0.564,1,True,False,,,,,,,casein,,,processed_ingredient,grade_signal
concentrated milk solids,milk,,concentrate,base ingredient,,powder,,0.0,0.4,0.12,0.0,0.42,0.12,0.168,0.174,1,False,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal, process_signal"
skimmed milk concentrate,milk,skim/defatted meal,concentrate,base ingredient,,powder,,0.0,0.4,0.12,0.0,0.42,0.12,0.168,0.174,1,False,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal, process_signal, grade_signal"
whey protein concentrate,milk,,protein concentrate,base ingredient,,whey powder,,0.0,0.74,0.12,0.0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,whey_concentrate,,,processed_ingredient,form_signal
pasteurized skimmed milk,milk,pasteurization,skim/defatted meal,base ingredient,skim/defatted meal,,,0.48,0.55,0.12,0.48,0.55,0.12,0.357,0.357,2,False,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal, process_signal, grade_signal"
milk protein concentrate,milk,,protein concentrate,base ingredient,,,,0.0,0.74,0.12,0.0,0.74,0.12,0.27,0.27,1,False,False,,,,,,,total_milk_protein,,,processed_ingredient,"canonical_form, form_signal"
centre filling milk solids,milk,,dense block,base ingredient,,concentrate|powder,sweetener|flavouring agent,0.0,0.38,0.12,0.0,0.42,0.675,0.162,0.396,1,True,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal"
reconstituted skimmed milk,milk,,,base ingredient,,powder|juice,,0.0,0.0,0.12,0.0,0.5,0.12,0.048,0.198,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal, process_signal, grade_signal"
reconstituted buttermilk milk,milk,,,base ingredient,pasteurization,dense block,,0.0,0.0,0.12,0.48,0.38,0.12,0.048,0.306,1,True,False,,,,fermented_milk,,,,,,raw_agricultural_material,"canonical_form, form_signal, process_signal"
mozzarella cheese lodized salt,milk | mineral,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,hard_cheese,,,,,,processed_ingredient,"form_signal, multi_source"
yogurt milk bacterial cultures,milk,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,yogurt,,,,,,fermentation_agent,"orthographic_noise, canonical_form, form_signal, grade_signal"
yoghurt milk bacterial cultures,milk,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,yogurt,,,,,,fermentation_agent,"orthographic_noise, canonical_form, form_signal, grade_signal"
condensed milk-solid balls khoya,milk,,dense block,base ingredient,concentration,concentrate,,0.0,0.38,0.12,0.48,0.4,0.12,0.162,0.312,1,True,False,,,,heat_concentrated,,,,,,processed_ingredient,process_signal
sweetened condensed skimmed milk,milk,,concentrate,sweetener|base ingredient,concentration,,,0.0,0.4,0.625,0.48,0.4,0.625,0.37,0.514,2,False,False,,,,,,,,,,flag_compound_product,"canonical_form, form_signal, process_signal, grade_signal"
protein blend whey protein isolate,milk,,protein isolate,base ingredient,,whey powder,,0.0,0.78,0.12,0.0,0.78,0.12,0.282,0.282,1,False,False,,,,,,,whey_isolate,,,processed_ingredient,"form_signal, grade_signal"
sweetened condensed partly skimmed milk,milk,,concentrate,base ingredient|sweetener,concentration,,,0.0,0.4,0.625,0.48,0.4,0.625,0.37,0.514,2,False,False,,,,,,,,,,flag_compound_product,"canonical_form, form_signal, process_signal, grade_signal"
active lactic cultures made from toned milk,milk,fermentation,,base ingredient,,dense block,,0.56,0.0,0.12,0.56,0.38,0.12,0.216,0.33,1,True,False,,,,,,,,,,fermentation_agent,"canonical_form, form_signal, process_signal, grade_signal"
lactose-rich deproteinized whey permeate powder,milk,,whey powder,base ingredient,,skim/defatted meal|powder,bulking agent,0.0,0.52,0.12,0.0,0.55,0.375,0.204,0.315,1,True,False,,,,,,,,,,processed_ingredient,form_signal
