ins_number,official_name,source_type,sources,functional_classes,codex_category
478,Propylene glycol monostearate,synthetic,,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
479,Thermally oxidized soybean oil interacted with mono- and diglycerides of fatty acids,plant,soybean,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
481,Sodium stearoyl-2-lactylate,synthetic,,emulsifier|stabilizer,"Thickeners, stabilisers, emulsifiers and gelling agents"
491,Sorbitan monostearate,synthetic,,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
433,Polyoxyethylene (20) sorbitan monooleate,synthetic,,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
475,Polyglycerol esters of fatty acids,animal,palm|soybean|sunflower|rapeseed|lard|tallow,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
476,Polyglycerol polyricinoleate,synthetic,,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
477,Propylene glycol esters of fatty acids,synthetic,,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
492,Sorbitan tristearate,synthetic,,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
516,Calcium sulfate,mineral,,firming agent|flour treatment agent|stabilizer|thickener,"pH adjusters, anti-caking and anti-foaming agents"
445,Glycerol esters of wood rosins,plant,pine resin|pine tree stumps,emulsifier|stabilizer,"Thickeners, stabilisers, emulsifiers and gelling agents"
322,Lecithins,animal,soybean|sunflower|rapeseed|egg yolk,antioxidant|emulsifier|stabilizer,Antioxidants and acidity regulators
471,Mono- and diglycerides of fatty acids,animal,palm|soybean|sunflower|rapeseed|lard|tallow,emulsifier|stabilizer,"Thickeners, stabilisers, emulsifiers and gelling agents"
435,Polyoxyethylene (20) sorbitan monostearate,synthetic,,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
401,Sodium alginate,plant,brown algae,thickener|stabilizer|gelling agent|emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
331,Sodium citrates,synthetic,,acidity regulator|emulsifier|sequestrant,Antioxidants and acidity regulators
444,Sucrose acetate isobutyrate,synthetic,,emulsifier|stabilizer,"Thickeners, stabilisers, emulsifiers and gelling agents"
417,Tara gum,plant,tara tree seeds,thickener|stabilizer,"Thickeners, stabilisers, emulsifiers and gelling agents"
337,Potassium tartrate,synthetic,,acidity regulator|antioxidant,Antioxidants and acidity regulators
418,Gellan gum,synthetic,,gelling agent|stabilizer|emulsifier|thickener,"Thickeners, stabilisers, emulsifiers and gelling agents"
406,Agar,plant,red algae,thickener|stabilizer|gelling agent|emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
1450,Starch sodium octenylsuccinate,plant,corn|wheat|tapioca|potato|rice,emulsifier|stabilizer,Modified starches
1400,Dextrin roasted starch,plant,corn|wheat|tapioca|potato|rice,stabilizer|thickener,Modified starches
1404,Oxidized starch,plant,corn|wheat|tapioca|potato|rice,emulsifier|thickener|stabilizer,Modified starches
330,Citric acid,plant,lemon|lime|citrus fruit|corn,antioxidant|acidity regulator|flavour enhancer|preservative|sequestrant,Antioxidants and acidity regulators
260,"Acetic acid, glacial",synthetic,,acidity regulator|preservative,Preservatives
1202,Polyvinylpolypyrrolidone,synthetic,,stabilizer|clarifying agent,Polyols
1201,Polyvinylpyrrolidone,synthetic,,stabilizer,Polyols
385,Calcium disodium EDTA,synthetic,,antioxidant|sequestrant,Antioxidants and acidity regulators
386,Disodium EDTA,synthetic,,preservative|sequestrant,Antioxidants and acidity regulators
472b,Lactic and fatty acid esters of glycerol,animal,palm|soybean|sunflower|rapeseed|lard|tallow,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
472c,Citric and fatty acid esters of glycerol,animal,palm|soybean|sunflower|rapeseed|lard|tallow,emulsifier,"Thickeners, stabilisers, emulsifiers and gelling agents"
1505,Triethyl citrate,synthetic,,stabilizer|carrier,Modified starches
503,Ammonium carbonates,synthetic,,acidity regulator|raising agent,"pH adjusters, anti-caking and anti-foaming agents"
212,Potassium benzoate,synthetic,,preservative,Preservatives
211,Sodium benzoate,synthetic,,preservative,Preservatives
200,Sorbic acid,synthetic,,preservative,Preservatives
500,Sodium carbonates,mineral,nahcolite|trona,acidity regulator|raising agent,"pH adjusters, anti-caking and anti-foaming agents"
903,Carnauba wax,plant,carnauba palm,glazing agent,"Gases, waxes and propellants"
901,"Beeswax, white and yellow",animal,beeswax,glazing agent,"Gases, waxes and propellants"
904,Shellac,animal,lac beetle secretion,glazing agent,"Gases, waxes and propellants"
262,Sodium acetates,synthetic,,acidity regulator|preservative,Preservatives
510,Magnesium chloride,synthetic,seawater|brine,firming agent|flavour enhancer|flour treatment agent,"pH adjusters, anti-caking and anti-foaming agents"
923,Propyl gallate,synthetic,,antioxidant|flour treatment agent,"Gases, waxes and propellants"
223,Sodium metabisulphite,synthetic,,bleaching agent|preservative|antioxidant|flour treatment agent,Preservatives
1420,Acetylated starch,plant,corn|wheat|tapioca|potato|rice,thickener|stabilizer|emulsifier,Modified starches
1101,Protease,synthetic,papaya latex|papaya,flour treatment agent,Enzymes
470,Fatty acids,animal,palm|soybean|sunflower|rapeseed|lard|tallow,emulsifier|stabilizer|anticaking agent|antifoaming agent|glazing agent,"Thickeners, stabilisers, emulsifiers and gelling agents"
504,Magnesium carbonate,mineral,,acidity regulator|anticaking agent,"pH adjusters, anti-caking and anti-foaming agents"
551,"Silicon dioxide, amorphous",mineral,,anticaking agent,"pH adjusters, anti-caking and anti-foaming agents"
536,Potassium ferrocyanide,synthetic,,anticaking agent,"pH adjusters, anti-caking and anti-foaming agents"
541,"Sodium aluminium phosphate, acidic",synthetic,,emulsifier|raising agent,"pH adjusters, anti-caking and anti-foaming agents"
553,Magnesium silicates,mineral,,anticaking agent,"pH adjusters, anti-caking and anti-foaming agents"
635,Disodium 5'-ribonucleotides,synthetic,,flavour enhancer,Flavour enhancers
620,L-Glutamic acid,synthetic,molasses|corn|wheat gluten,flavour enhancer,Flavour enhancers
621,Monosodium L-glutamate,synthetic,molasses|corn|wheat gluten,flavour enhancer,Flavour enhancers
629,5'-Guanylic acid,synthetic,,flavour enhancer,Flavour enhancers
630,5'-Inosinic acid,synthetic,,flavour enhancer,Flavour enhancers
637,Ethyl maltol,synthetic,,flavour enhancer,Flavour enhancers
261,Potassium acetate,synthetic,,preservative|acidity regulator,Preservatives
290,Carbon dioxide,synthetic,,propellant,Preservatives
394,"Tartaric acid, DL-",synthetic,,acidity regulator,Antioxidants and acidity regulators
524,Sodium hydroxide,mineral,,acidity regulator,"pH adjusters, anti-caking and anti-foaming agents"
525,Potassium hydroxide,mineral,,acidity regulator,"pH adjusters, anti-caking and anti-foaming agents"
300,"Ascorbic acid, L-",plant,citrus fruit,antioxidant,Antioxidants and acidity regulators
338,Phosphoric acid,mineral,,acidity regulator,Antioxidants and acidity regulators
501,Potassium carbonates,mineral,,acidity regulator,"pH adjusters, anti-caking and anti-foaming agents"
270,"Lactic acid, L-, D- and DL-",synthetic,corn,acidity regulator|preservative,Preservatives
325,Sodium lactate,synthetic,,acidity regulator|humectant,Antioxidants and acidity regulators
334,"Tartaric acid, L(+)",plant,grapes,acidity regulator|antioxidant,Antioxidants and acidity regulators
518,Magnesium sulphate,mineral,,firming agent|flavour enhancer,"pH adjusters, anti-caking and anti-foaming agents"
900,Dimethylpolysiloxane,synthetic,,antifoaming agent,"Gases, waxes and propellants"
350,Sodium malates,synthetic,,acidity regulator,Antioxidants and acidity regulators
468,Crosslinked sodium carboxymethylcellulose,plant,plant cellulose,stabilizer|thickener,"Thickeners, stabilisers, emulsifiers and gelling agents"
521,Sodium aluminium sulphate,synthetic,,firming agent,"pH adjusters, anti-caking and anti-foaming agents"
140,Chlorophylls,plant,green leaves|spinach|grass|nettles|alfalfa,color,Colours
150,Caramel,plant,sugarcane|corn|wheat|potato|glucose syrup,color,Colours
160d,Lycopene,plant,tomato,color,Colours
161b,Lutein,plant,marigold,color,Colours
174,Silver,mineral,,color,Colours
