variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags
peas,peas,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False
milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False
whey,milk,NULL,whey powder,base ingredient,NULL,NULL,NULL,0,0.52,0.12,0,0.52,0.12,0.204,0.204,1,False,False
amra,hog plum,NULL,whole/fresh pieces,base ingredient,NULL,NULL,acidity regulator,0,0.05,0.12,0,0.05,0.86,0.063,0.359,1,True,False
พริก,chili,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
curd,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
dahi,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
ghee,milk,churning|clarification,fat fraction,lipid base,NULL,NULL,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False
lime,lime,NULL,whole/fresh pieces,flavouring agent,NULL,juice,acidity regulator,0,0.05,0.675,0,0.5,0.86,0.285,0.494,1,True,False
mace,mace,NULL,NULL,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False
monk,monk fruit,NULL,whole/fresh pieces,sweetener,NULL,NULL,flavouring agent,0,0.05,0.625,0,0.05,0.675,0.265,0.285,1,False,False
okra,okra,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False
plum,plum,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False
rice,rice,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
paua,abalone,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
poha,rice,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False
sago,sago,NULL,starch flour,base ingredient,NULL,NULL,thickener,0,0.6,0.12,0,0.6,0.615,0.228,0.426,1,True,False
rava,wheat,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False
salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
tbhq,synthetic,NULL,crystalline chemical,antioxidant|preservative,NULL,NULL,NULL,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False
atta,wheat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
figs,fig,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False
balm,balm,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
bran,wheat,milling,skim/defatted meal,base ingredient,NULL,NULL,NULL,0.28,0.55,0.12,0.28,0.55,0.12,0.297,0.297,1,False,False
kale,kale,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
khoa,milk,NULL,dense block,base ingredient,concentration,concentrate,NULL,0,0.38,0.12,0.48,0.4,0.12,0.162,0.312,1,True,False
carot,carrot,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
cream,milk,churning,fat fraction,lipid base,NULL,NULL,NULL,0.45,0.72,0.22,0.45,0.72,0.22,0.439,0.439,2,False,False
dates,date,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False
maida,wheat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
mango,mango,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False
dairy,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False
khoya,milk,NULL,dense block,base ingredient,concentration,concentrate,NULL,0,0.38,0.12,0.48,0.4,0.12,0.162,0.312,1,True,False
bajra,pearl millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
jowar,sorghum,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
pista,pistachio,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False
sugar,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False
sucre,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False
đường,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False
kakvi,sugarcane,NULL,concentrate,sweetener,concentration,NULL,NULL,0,0.4,0.625,0.48,0.4,0.625,0.37,0.514,2,False,False
wafer,wheat,?baking,flakes,base ingredient,NULL,NULL,NULL,0.58,0.36,0.12,0.58,0.36,0.12,0.33,0.33,2,False,True
wheat,wheat,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
kesar,saffron,drying,NULL,colour,NULL,powder,taste profile / spice,0.42,0,0.8,0.42,0.42,0.8,0.446,0.572,2,False,False
mater,peas,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False
yeast,yeast,fermentation,NULL,raising agent,NULL,powder,NULL,0.56,0,0.475,0.56,0.42,0.475,0.358,0.484,2,False,False
apple,apple,NULL,whole/fresh pieces,base ingredient,NULL,juice,sweetener,0,0.05,0.12,0,0.5,0.625,0.063,0.4,1,True,False
basil,basil,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
tulsi,tulsi,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
beans,beans,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False
besan,chickpea,milling,flour/fine powder,base ingredient,NULL,NULL,thickener,0.28,0.33,0.12,0.28,0.33,0.615,0.231,0.429,1,True,False
chana,chickpea,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False
clove,clove,drying,NULL,taste profile / spice,NULL,powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
cocoa,cocoa,fermentation,NULL,taste profile / spice,roasting,powder,flavouring agent,0.56,0,0.18,0.58,0.42,0.675,0.24,0.57,1,True,False
cumin,cumin,drying,NULL,taste profile / spice,NULL,powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
jeera,cumin,drying,NULL,taste profile / spice,NULL,powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
moong,mung bean,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False
guava,guava,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False
honey,honey,NULL,dense block,sweetener,NULL,NULL,flavouring agent,0,0.38,0.625,0,0.38,0.675,0.364,0.384,2,False,False
leeks,leek,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.12,0,0.1,0.675,0.063,0.3,1,True,False
lemon,lemon,NULL,whole/fresh pieces,flavouring agent,NULL,juice,acidity regulator,0,0.05,0.675,0,0.5,0.86,0.285,0.494,1,True,False
dairy,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False
salts,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
onion,onion,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.12,0,0.1,0.675,0.063,0.3,1,True,False
sooji,wheat,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False
wheat,wheat,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
supar,areca nut,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
thyme,thyme,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
water,water,NULL,juice,base ingredient,NULL,NULL,NULL,0,0.5,0.12,0,0.5,0.12,0.198,0.198,1,False,False
brine,mineral,NULL,juice,base ingredient,NULL,NULL,preservative,0,0.5,0.12,0,0.5,0.885,0.198,0.504,1,True,False
l-hpc,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
lupin,lupin,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
musli,safed musli,NULL,NULL,base ingredient,NULL,whole/fresh pieces|powder,NULL,0,0,0.12,0,0.42,0.12,0.048,0.174,1,False,False
oxide,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
pipal,long pepper,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
spelt,spelt,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
carrot,carrot,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
turnip,turnip,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
cashew,cashew,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False
garlic,garlic,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
ginger,ginger,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
sunthi,ginger,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
amchur,mango,drying,powder,taste profile / spice,NULL,NULL,acidity regulator,0.42,0.42,0.18,0.42,0.42,0.86,0.324,0.596,2,False,False
millet,millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
quinoa,quinoa,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
saamai,little millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
nachni,finger millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
fudina,mint,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
raisin,grape,drying,whole/fresh pieces,sweetener,NULL,NULL,flavouring agent,0.42,0.05,0.625,0.42,0.05,0.675,0.391,0.411,2,False,False
sesame,sesame,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
soynut,soybean,roasting,NULL,base ingredient,NULL,NULL,NULL,0.58,0,0.12,0.58,0,0.12,0.222,0.222,1,False,False
stevia,stevia,NULL,NULL,sweetener,NULL,powder|extract/oleoresin,flavouring agent,0,0,0.625,0,0.86,0.675,0.25,0.528,1,True,False
sugars,sugarcane,NULL,crystalline chemical,sweetener,refining,juice,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False
zucker,sugarcane,NULL,crystalline chemical,sweetener,refining,juice,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False
mishri,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False
waffle,wheat,NULL,NULL,base ingredient,?extrusion|baking,NULL,NULL,0,0,0.12,0.6,0,0.12,0.048,0.228,1,False,True
almond,almond,NULL,whole/fresh pieces,base ingredient,roasting,cut/sliced pieces,NULL,0,0.05,0.12,0.58,0.1,0.12,0.063,0.252,1,False,False
citric,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,antioxidant|preservative,0.56,0.98,0.86,0.56,0.98,0.885,0.806,0.816,3,False,False
dhania,coriander,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
safron,saffron,drying,NULL,colour,NULL,powder,taste profile / spice,0.42,0,0.8,0.42,0.42,0.8,0.446,0.572,2,False,False
fennel,fennel,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
ajwain,carom,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
ajowan,ajowan,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
coffee,coffee,roasting,NULL,flavouring agent,NULL,powder|extract/oleoresin,taste profile / spice,0.58,0,0.675,0.58,0.86,0.675,0.444,0.702,2,True,False
banana,banana,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False
barley,barley,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
biotin,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
pepper,pepper,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
brahmi,brahmi,NULL,whole/fresh pieces,flavouring agent,NULL,cut/sliced pieces|powder,NULL,0,0.05,0.675,0,0.42,0.675,0.285,0.396,1,True,False
butter,milk,churning,fat fraction,lipid base,NULL,NULL,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False
celery,celery,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
cheese,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
paneer,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
cheese,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
chilli,chilli,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
chilli,chilli,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
cloves,cloves,drying,NULL,taste profile / spice,NULL,whole/fresh pieces|powder,flavouring agent,0.42,0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False
khobra,coconut,drying,NULL,base ingredient,NULL,whole/fresh pieces,NULL,0.42,0,0.12,0.42,0.05,0.12,0.174,0.189,1,False,False
yogurt,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
iodate,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
lentil,lentil,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
masoor,lentil,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
casein,milk,NULL,protein isolate,base ingredient,NULL,NULL,NULL,0,0.78,0.12,0,0.78,0.12,0.282,0.282,1,False,False
niacin,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
nutmeg,nutmeg,NULL,NULL,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False
onions,onion,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
tomate,tomato,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,acidity regulator,0,0.05,0.12,0,0.25,0.86,0.063,0.419,1,True,False
pepper,pepper,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
potato,potato,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,thickener,0,0.05,0.12,0,0.1,0.615,0.063,0.276,1,False,False
quinoa,quinoa,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
radish,radish,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
tomato,tomato,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,acidity regulator,0,0.05,0.12,0,0.25,0.86,0.063,0.419,1,True,False
anjeer,fig,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False
valine,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
chakka,jackfruit,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False
chhena,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
chikoo,sapodilla,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False
chikoo,sapodilla,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False
chirva,rice,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False
chives,chives,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
chives,chives,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
citron,citron,NULL,whole/fresh pieces,flavouring agent,NULL,juice,acidity regulator,0,0.05,0.675,0,0.5,0.86,0.285,0.494,1,True,False
gluten,wheat,NULL,protein isolate,base ingredient,NULL,NULL,NULL,0,0.78,0.12,0,0.78,0.12,0.282,0.282,1,False,False
lutein,marigold,solvent extraction,extract/oleoresin,colour,NULL,NULL,antioxidant,0.82,0.86,0.8,0.82,0.86,0.875,0.824,0.854,3,False,False
lysine,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
pecans,pecan,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False
pomelo,pomelo,NULL,whole/fresh pieces,flavouring agent,NULL,juice,acidity regulator,0,0.05,0.675,0,0.5,0.86,0.285,0.494,1,True,False
yogurt,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
alm oil,palm,cold pressing|solvent extraction,oil,lipid base,refining,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False
sal fat,sal,solvent extraction,fat fraction,lipid base,cold pressing|refining,NULL,NULL,0.82,0.72,0.22,0.82,0.72,0.22,0.55,0.55,2,False,False
carrots,carrot,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
cashews,cashew,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False
com oil,corn,cold pressing|solvent extraction,oil,lipid base,refining,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False
