variant,source,variant_signal_class,class_count,noise_or_signal
chilli,chilli,"orthographic_noise, redundant_variant, canonical_form",3,mixed
chilli,chilli,"orthographic_noise, redundant_variant, canonical_form",3,mixed
cloves,cloves,canonical_form,1,signal
khobra,coconut,canonical_form,1,signal
yogurt,milk,"orthographic_noise, redundant_variant, canonical_form",3,mixed
lentil,lentil,"orthographic_noise, canonical_form",2,mixed
masoor,lentil,transliteration_signal,1,signal
casein,milk,"canonical_form, form_signal",2,signal
nutmeg,nutmeg,canonical_form,1,signal
onions,onion,"orthographic_noise, canonical_form",2,mixed
tomate,tomato,"orthographic_noise, canonical_form",2,mixed
pepper,pepper,"redundant_variant, canonical_form",2,mixed
potato,potato,"orthographic_noise, canonical_form",2,mixed
quinoa,quinoa,"redundant_variant, canonical_form",2,mixed
radish,radish,canonical_form,1,signal
tomato,tomato,"orthographic_noise, canonical_form",2,mixed
anjeer,fig,transliteration_signal,1,signal
chakka,jackfruit,canonical_form,1,signal
chhena,milk,canonical_form,1,signal
chikoo,sapodilla,"redundant_variant, canonical_form",2,mixed
chikoo,sapodilla,"redundant_variant, canonical_form",2,mixed
chirva,rice,transliteration_signal,1,signal
chives,chives,"redundant_variant, canonical_form",2,mixed
chives,chives,"redundant_variant, canonical_form",2,mixed
citron,citron,canonical_form,1,signal
gluten,wheat,"canonical_form, form_signal",2,signal
pecans,pecan,canonical_form,1,signal
pomelo,pomelo,canonical_form,1,signal
yogurt,milk,"orthographic_noise, redundant_variant, canonical_form",3,mixed
alm oil,palm,"orthographic_noise, form_signal",2,mixed
sal fat,sal,"linguistic_signal, canonical_form, form_signal",3,signal
carrots,carrot,"orthographic_noise, canonical_form",2,mixed
cashews,cashew,"orthographic_noise, canonical_form",2,mixed
com oil,corn,"orthographic_noise, form_signal",2,mixed
mangoes,mango,"orthographic_noise, canonical_form",2,mixed
amchoor,mango,"orthographic_noise, canonical_form",2,mixed
millets,millet,"orthographic_noise, canonical_form",2,mixed
menthol,mint,"redundant_variant, canonical_form",2,mixed
paprika,paprika,canonical_form,1,signal
raisins,grape,"orthographic_noise, canonical_form",2,mixed
til oil,sesame,form_signal,1,signal
soynuts,soybean,"orthographic_noise, canonical_form",2,mixed
sucrose,sugarcane,"orthographic_noise, canonical_form",2,mixed
jaggery,sugarcane | palm,"canonical_form, multi_source",2,signal
glucose,corn | tapioca,"orthographic_noise, canonical_form, multi_source",3,mixed
vinegar,sugarcane,"canonical_form, form_signal",2,signal
almonds,almond,"orthographic_noise, canonical_form",2,mixed
mandeln,almond,canonical_form,1,signal
tumeric,turmeric,"orthographic_noise, canonical_form",2,mixed
saffron,saffron,"orthographic_noise, canonical_form",2,mixed
om seed,ajwain,"form_signal, grade_signal",2,signal
aniseed,anise,canonical_form,1,signal
apricot,apricot,canonical_form,1,signal
maricha,pepper,transliteration_signal,1,signal
milkfat,milk,"orthographic_noise, canonical_form",2,mixed
cow fat,beef,"redundant_variant, form_signal, grade_signal",3,mixed
cabbage,cabbage,canonical_form,1,signal
chicory,chicory,canonical_form,1,signal
coconut,coconut,canonical_form,1,signal
cow fat,beef,"redundant_variant, form_signal, grade_signal",3,mixed
yoghurt,milk,"orthographic_noise, redundant_variant, canonical_form",3,mixed
kalonji,nigella seed,transliteration_signal,1,signal
lactose,milk,"canonical_form, form_signal",2,signal
lentils,lentil,"orthographic_noise, canonical_form",2,mixed
mulethi,licorice,transliteration_signal,1,signal
pippali,long pepper,"orthographic_noise, canonical_form",2,mixed
menthol,mint,"redundant_variant, canonical_form",2,mixed
moringa,moringa,canonical_form,1,signal
shitake,mushroom,"orthographic_noise, canonical_form",2,mixed
shitaki,mushroom,"orthographic_noise, canonical_form",2,mixed
mustard,mustard,canonical_form,1,signal
shallot,shallot,canonical_form,1,signal
oregano,oregano,canonical_form,1,signal
parsley,parsley,canonical_form,1,signal
soybean,soybean,"orthographic_noise, canonical_form",2,mixed
spinach,spinach,canonical_form,1,signal
anistar,star anise,"orthographic_noise, canonical_form",2,mixed
tapioca,tapioca,canonical_form,1,signal
trifala,amla | haritaki | bibhitaki,"canonical_form, multi_source",2,signal
vannila,vanilla,"orthographic_noise, canonical_form",2,mixed
alcohol,sugarcane | molasses,"canonical_form, multi_source",2,signal
lactase,yeast,canonical_form,1,signal
catechu,acacia catechu,canonical_form,1,signal
cucumis,cucumber,canonical_form,1,signal
isabgol,psyllium,transliteration_signal,1,signal
fox nut,fox nut,"orthographic_noise, canonical_form",2,mixed
foxnuts,fox nut,"orthographic_noise, canonical_form",2,mixed
gongura,gongura,canonical_form,1,signal
isomalt,sugarcane,canonical_form,1,signal
pumpkin,pumpkin,canonical_form,1,signal
nannari,sarsaparilla,transliteration_signal,1,signal
xylitol,birch,canonical_form,1,signal
yoghurt,milk,"orthographic_noise, redundant_variant, canonical_form",3,mixed
palm oil,palm,"orthographic_noise, canonical_form, form_signal",3,mixed
paim oil,palm,"orthographic_noise, form_signal",2,mixed
palm fat,palm,"canonical_form, form_signal",2,signal
sea salt,mineral,"form_signal, grade_signal",2,signal
corn oil,corn,"orthographic_noise, canonical_form, form_signal",3,mixed
costarch,corn,"orthographic_noise, canonical_form",2,mixed
hazelnut,hazelnut,"orthographic_noise, canonical_form, grade_signal",3,mixed
milk snf,milk,"canonical_form, form_signal",2,signal
soy nuts,soybean,"orthographic_noise, form_signal",2,mixed
soyabean,soybean,"orthographic_noise, canonical_form",2,mixed
soybeans,soybean,"orthographic_noise, canonical_form",2,mixed
sharkara,sugarcane,transliteration_signal,1,signal
dextrose,corn | tapioca,"canonical_form, form_signal, multi_source",3,signal
fructose,corn,canonical_form,1,signal
levulose,corn,canonical_form,1,signal
urad dal,urad dal,"orthographic_noise, transliteration_signal, canonical_form, form_signal",4,mixed
turmeric,turmeric,"orthographic_noise, canonical_form",2,mixed
cow milk,milk,"orthographic_noise, redundant_variant, canonical_form, form_signal, grade_signal",5,mixed
raw milk,milk,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
cultures,lactobacillus | streptococcus,"canonical_form, multi_source",2,signal
allspice,allspice,canonical_form,1,signal
bay leaf,bay laurel,"form_signal, grade_signal",2,signal
gram dal,chickpea,"orthographic_noise, form_signal",2,mixed
thippili,thippili,canonical_form,1,signal
milk fat,milk,"orthographic_noise, canonical_form, form_signal",3,mixed
chillies,chilli,"orthographic_noise, canonical_form",2,mixed
cinnamon,cinnamon,"orthographic_noise, canonical_form",2,mixed
cinnamom,cinnamon,"orthographic_noise, canonical_form",2,mixed
cow milk,milk,"orthographic_noise, redundant_variant, canonical_form, form_signal, grade_signal",5,mixed
cake gel,palm | soybean | sunflower,"form_signal, multi_source",2,signal
cardamom,cardamom,canonical_form,1,signal
moongdal,mung bean,"orthographic_noise, canonical_form",2,mixed
hibiscus,hibiscus,canonical_form,1,signal
inositol,corn,canonical_form,1,signal
molasses,sugarcane,"canonical_form, form_signal",2,signal
navsadar,synthetic,"orthographic_noise, transliteration_signal",2,mixed
toor dal,pigeon pea,"orthographic_noise, transliteration_signal, form_signal",3,mixed
potatoes,potato,"orthographic_noise, canonical_form",2,mixed
rosemary,rosemary,canonical_form,1,signal
semolina,wheat,"canonical_form, form_signal",2,signal
sesbania,sesbania,canonical_form,1,signal
sulphite,mineral,"orthographic_noise, canonical_form",2,mixed
tamarind,tamarind,canonical_form,1,signal
tomatoes,tomato,"orthographic_noise, canonical_form",2,mixed
vanillin,synthetic,canonical_form,1,signal
ro water,water,"canonical_form, form_signal",2,signal
betelnut,areca palm,canonical_form,1,signal
cherries,cherry,canonical_form,1,signal
digezyme,aspergillus oryzae,canonical_form,1,signal
fox nuts,fox nut,"orthographic_noise, canonical_form, form_signal",3,mixed
gum base,chicle,form_signal,1,signal
haritaki,haritaki,canonical_form,1,signal
jalapeno,jalapeno,"orthographic_noise, canonical_form",2,mixed
khorasan,khorasan wheat,canonical_form,1,signal
mulberry,mulberry,canonical_form,1,signal
nitrogen,synthetic,canonical_form,1,signal
vallarai,brahmi,transliteration_signal,1,signal
xylanase,aspergillus niger,canonical_form,1,signal
palmolein,palm,"orthographic_noise, canonical_form",2,mixed
palmolien,palm,"orthographic_noise, canonical_form",2,mixed
vanaspati,palm | soybean | groundnut,"canonical_form, multi_source",2,signal
kalanamak,mineral,transliteration_signal,1,signal
rock salt,mineral,"form_signal, grade_signal",2,signal
cornflour,corn,canonical_form,1,signal
hazelnuts,hazelnut,"orthographic_noise, canonical_form",2,mixed
magnesium,mineral,"canonical_form, grade_signal",2,signal
dry mango,mango,"canonical_form, process_signal",2,signal
raw mango,mango,"canonical_form, grade_signal",2,signal
mint oils,mint,"canonical_form, form_signal",2,signal
pistachio,pistachio,"orthographic_noise, canonical_form, grade_signal",3,mixed
soya grit,soybean,form_signal,1,signal
soyabeans,soybean,"orthographic_noise, canonical_form",2,mixed
soya four,soybean,orthographic_noise,1,noise
khandsari,sugarcane,transliteration_signal,1,signal
sugarcane,sugarcane,canonical_form,1,signal
d-glucose,corn | tapioca,"orthographic_noise, canonical_form, multi_source",3,mixed
urid dhal,urad dal,"orthographic_noise, form_signal",2,mixed
orid dhal,urad dal,"orthographic_noise, form_signal",2,mixed
flax seed,flax,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
oat flour,oat,"canonical_form, form_signal",2,signal
asafetida,asafoetida,"orthographic_noise, canonical_form",2,mixed
fenugreek,fenugreek,canonical_form,1,signal
coriander,coriander,canonical_form,1,signal
green pea,pea,"canonical_form, grade_signal",2,signal
skim milk,milk,"canonical_form, form_signal, grade_signal",3,signal
algal oil,algae,form_signal,1,signal
aspartame,synthetic,canonical_form,1,signal
bael pulp,bael,"canonical_form, grade_signal",2,signal
bayleaves,bay laurel,"orthographic_noise, canonical_form",2,mixed
chana dal,chickpea,"transliteration_signal, form_signal",2,signal
gram dhal,chickpea,"orthographic_noise, form_signal",2,mixed
gram meal,chickpea,"orthographic_noise, form_signal",2,mixed
bhringraj,bhringraj,canonical_form,1,signal
black tea,tea,"canonical_form, grade_signal",2,signal
butterfat,milk,"canonical_form, form_signal",2,signal
chickpeas,chickpea,"orthographic_noise, canonical_form",2,mixed
red chili,chilli,"orthographic_noise, grade_signal",2,mixed
clove bud,clove,"canonical_form, grade_signal",2,signal
cranberry,cranberry,canonical_form,1,signal
vegan dha,algae,process_signal,1,signal
egg white,egg,"canonical_form, grade_signal",2,signal
desi ghee,milk,"transliteration_signal, form_signal",2,signal
red grape,grape,"canonical_form, grade_signal",2,signal
moong dal,mung bean,"orthographic_noise, transliteration_signal, form_signal",3,mixed
green tea,tea,"canonical_form, grade_signal",2,signal
ice cream,milk,form_signal,1,signal
dew beans,moth bean,"form_signal, grade_signal",2,signal
naushadar,synthetic,"orthographic_noise, transliteration_signal",2,mixed
tree nuts,almond | cashew | walnut | pistachio,"form_signal, multi_source",2,signal
olive oil,olive,"canonical_form, form_signal",2,signal
toor dhal,pigeon pea,"orthographic_noise, transliteration_signal, form_signal",3,mixed
pineapple,pineapple,canonical_form,1,signal
plum pulp,plum,"canonical_form, grade_signal",2,signal
potassium,mineral,"canonical_form, grade_signal",2,signal
rice meal,rice,"canonical_form, form_signal",2,signal
rice rava,rice,"transliteration_signal, canonical_form, form_signal",3,signal
rice flex,rice,canonical_form,1,signal
idli rava,rice,"orthographic_noise, redundant_variant, transliteration_signal, form_signal",4,mixed
staranise,star anise,"orthographic_noise, canonical_form",2,mixed
sucralose,synthetic,canonical_form,1,signal
sulphites,mineral,"orthographic_noise, canonical_form",2,mixed
dried fig,fig,"canonical_form, process_signal",2,signal
ash gourd,ash gourd,canonical_form,1,signal
bibhitaki,bibhitaki,canonical_form,1,signal
buckwheat,buckwheat,canonical_form,1,signal
catechins,tea,canonical_form,1,signal
chlorella,chlorella,canonical_form,1,signal
dry fruit,grape | date | fig | almond | cashew | pistachio,"process_signal, multi_source",2,signal
proteases,aspergillus oryzae | bacillus subtilis,"canonical_form, multi_source",2,signal
goat meat,goat,"canonical_form, grade_signal",2,signal
horsegram,horsegram,canonical_form,1,signal
idli rava,rice,"orthographic_noise, redundant_variant, transliteration_signal, form_signal",4,mixed
jackfruit,jackfruit,canonical_form,1,signal
jalapenos,jalapeno,"orthographic_noise, canonical_form",2,mixed
margarine,palm | soybean | sunflower,"canonical_form, multi_source",2,signal
spirulina,spirulina,canonical_form,1,signal
palm olein,palm,"orthographic_noise, canonical_form",2,mixed
edible oil,palm | soybean | sunflower | groundnut,"form_signal, grade_signal, multi_source",3,signal
black salt,mineral,"form_signal, grade_signal",2,signal
cashew nut,cashew,"orthographic_noise, canonical_form, grade_signal",3,mixed
milk cream,milk,"canonical_form, form_signal",2,signal
sour cream,milk,"form_signal, grade_signal",2,signal
date paste,date,"canonical_form, form_signal",2,signal
date syrup,date,"canonical_form, form_signal",2,signal
dry ginger,ginger,"canonical_form, process_signal",2,signal
corn syrup,corn,"canonical_form, form_signal",2,signal
l-camitine,synthetic,"orthographic_noise, canonical_form",2,mixed
wheatflour,wheat,"orthographic_noise, canonical_form",2,mixed
mango bits,mango,"canonical_form, grade_signal",2,signal
mango pulp,mango,"canonical_form, grade_signal",2,signal
smp powder,milk,form_signal,1,signal
milk solid,milk,"orthographic_noise, canonical_form, form_signal",3,mixed
milksolids,milk,"orthographic_noise, canonical_form",2,mixed
ragi flour,finger millet,"transliteration_signal, form_signal",2,signal
dried mint,mint,"canonical_form, process_signal",2,signal
dry pudina,mint,"transliteration_signal, process_signal",2,signal
mint puree,mint,"linguistic_signal, canonical_form, form_signal",3,signal
peppermint,peppermint,canonical_form,1,signal
pistachios,pistachio,"orthographic_noise, canonical_form",2,mixed
white till,sesame,grade_signal,1,signal
sesame oil,sesame,"canonical_form, form_signal",2,signal
soy flakes,soybean,"orthographic_noise, form_signal",2,mixed
soya seeds,soybean,"form_signal, grade_signal",2,signal
soya flour,soybean,"orthographic_noise, form_signal",2,mixed
strawberry,strawberry,canonical_form,1,signal
cane sugar,sugarcane,"form_signal, grade_signal",2,signal
palm sugar,palm,"redundant_variant, canonical_form, form_signal",3,mixed
desi khand,sugarcane,transliteration_signal,1,signal
black gram,black gram,"canonical_form, grade_signal",2,signal
wafer cone,wheat,"form_signal, grade_signal",2,signal
m.p. wheat,wheat,canonical_form,1,signal
wheat bran,wheat,"canonical_form, form_signal",2,signal
zinc oxide,mineral,"form_signal, grade_signal, fortification_signal",3,signal
flax seeds,flax,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
badam bits,almond,"transliteration_signal, grade_signal",2,signal
oats flour,oats,"canonical_form, form_signal",2,signal
curry leaf,curry leaf,"canonical_form, form_signal, grade_signal",3,signal
asafoetida,asafoetida,"orthographic_noise, canonical_form",2,mixed
ennel seed,fennel,"orthographic_noise, form_signal, grade_signal",3,mixed
green peas,green pea,"canonical_form, grade_signal",2,signal
toned milk,milk,"canonical_form, form_signal, process_signal, grade_signal",4,signal
sweet whey,milk,"form_signal, grade_signal",2,signal
a2 protein,milk,"form_signal, grade_signal",2,signal
rama tulsi,tulsi,"orthographic_noise, transliteration_signal, canonical_form",3,mixed
vana tulsi,tulsi,"orthographic_noise, transliteration_signal, canonical_form",3,mixed
bay leaves,bay laurel,"orthographic_noise, form_signal, grade_signal",3,mixed
gram flour,chickpea,form_signal,1,signal
split gram,chickpea,"orthographic_noise, grade_signal",2,mixed
gram grits,chickpea,form_signal,1,signal
gram pulse,chickpea,orthographic_noise,1,noise
whole gram,chickpea,grade_signal,1,signal
black rice,black rice,"redundant_variant, canonical_form, grade_signal",3,mixed
brown rice,brown rice,"redundant_variant, canonical_form, grade_signal",3,mixed
chia seeds,chia,"canonical_form, form_signal, grade_signal",3,signal
chick peas,chickpea,orthographic_noise,1,noise
red chilli,chilli,"orthographic_noise, canonical_form, grade_signal",3,mixed
red chilly,chilli,"orthographic_noise, grade_signal",2,mixed
cocoa mass,cocoa,"canonical_form, form_signal",2,signal
cocoa nibs,cocoa,"canonical_form, form_signal",2,signal
cumin seed,cumin,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
edible gum,acacia,"form_signal, grade_signal",2,signal
emulsifier,palm | soybean | sunflower,"orthographic_noise, canonical_form, multi_source",3,mixed
emulsfying,palm | soybean | sunflower,"canonical_form, multi_source",2,signal
emuslifier,palm | soybean | sunflower,"orthographic_noise, canonical_form, multi_source",3,mixed
grape pulp,grape,"canonical_form, grade_signal",2,signal
green gram,mung bean,grade_signal,1,signal
mung beans,mung bean,"orthographic_noise, canonical_form, form_signal",3,mixed
moong bean,mung bean,"orthographic_noise, transliteration_signal",2,mixed
guava pulp,guava,"canonical_form, grade_signal",2,signal
jamun pulp,java plum,"transliteration_signal, grade_signal",2,signal
papad khar,synthetic,transliteration_signal,1,signal
lime juice,lime,"canonical_form, form_signal",2,signal
monk fruit,monk fruit,canonical_form,1,signal
moth flour,moth bean,"form_signal, grade_signal",2,signal
niger seed,niger,"canonical_form, form_signal, grade_signal",3,signal
nut pieces,almond | cashew | pistachio | walnut,"grade_signal, multi_source",2,signal
nuts paste,almond | cashew | pistachio | walnut,"form_signal, multi_source",2,signal
palm sugar,palm,"redundant_variant, canonical_form, form_signal",3,mixed
peach pulp,peach,"canonical_form, grade_signal",2,signal
pigeon pea,pigeon pea,canonical_form,1,signal
poppy seed,poppy,"canonical_form, form_signal, grade_signal",3,signal
rice flour,rice,"orthographic_noise, canonical_form, form_signal",3,mixed
rice grits,rice,"canonical_form, form_signal",2,signal
brown rice,brown rice,"redundant_variant, canonical_form, grade_signal",3,mixed
black rice,black rice,"redundant_variant, canonical_form, grade_signal",3,mixed
white poha,rice,"transliteration_signal, grade_signal",2,signal
rice floor,rice,"orthographic_noise, canonical_form",2,mixed
nylon poha,rice,"transliteration_signal, process_signal",2,signal
rose petal,rose,"canonical_form, form_signal",2,signal
rose water,rose,"canonical_form, form_signal",2,signal
bansi rawa,wheat,transliteration_signal,1,signal
idly ravva,rice,"orthographic_noise, redundant_variant",2,noise
soya sauce,soybean,form_signal,1,signal
star anise,star anise,"orthographic_noise, canonical_form",2,mixed
tea leaves,tea,"canonical_form, form_signal, grade_signal",3,signal
watermelon,watermelon,canonical_form,1,signal
aavarampoo,aavarampoo,canonical_form,1,signal
barramundi,barramundi,canonical_form,1,signal
cloudifier,palm | soybean | sunflower,"canonical_form, multi_source",2,signal
sandalwood,sandalwood,canonical_form,1,signal
eucalyptol,eucalyptus,canonical_form,1,signal
goji berry,goji berry,"canonical_form, grade_signal",2,signal
idly ravva,rice,"orthographic_noise, redundant_variant",2,noise
l-theanine,tea,canonical_form,1,signal
mayonnaise,soybean | sunflower | egg,"canonical_form, multi_source",2,signal
mct powder,coconut | palm kernel,"form_signal, multi_source",2,signal
wheatgrass,wheatgrass,canonical_form,1,signal
red salmon,salmon,"canonical_form, grade_signal",2,signal
palm kernel,palm,"canonical_form, form_signal, grade_signal",3,signal
shea butter,shea,"canonical_form, form_signal",2,signal
refined oil,palm | soybean | sunflower | groundnut,"form_signal, process_signal, multi_source",3,signal
common salt,mineral,"form_signal, grade_signal",2,signal
edible salt,mineral,"form_signal, grade_signal",2,signal
sodium salt,mineral,"form_signal, grade_signal",2,signal
batter salt,mineral,"form_signal, grade_signal",2,signal
loaded salt,mineral,"form_signal, grade_signal",2,signal
smoked salt,mineral,"form_signal, process_signal",2,signal
carrot bits,carrot,"canonical_form, grade_signal",2,signal
cashew nuts,cashew,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
corn starch,corn,"canonical_form, form_signal",2,signal
date powder,date,"canonical_form, form_signal",2,signal
l-carnitine,synthetic,"orthographic_noise, canonical_form",2,mixed
wheat flour,wheat,"orthographic_noise, canonical_form, form_signal",3,mixed
mango puree,mango,"linguistic_signal, canonical_form, form_signal",3,signal
dried mango,mango,"canonical_form, process_signal",2,signal
mango juice,mango,"canonical_form, form_signal",2,signal
milk powder,milk,"canonical_form, form_signal",2,signal
milk solids,milk,"orthographic_noise, canonical_form, form_signal",3,mixed
kodo millet,kodo millet,canonical_form,1,signal
bajra flour,pearl millet,"transliteration_signal, form_signal",2,signal
mint leaves,mint,"canonical_form, form_signal, grade_signal",3,signal
sesame seed,sesame,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
soya flakes,soybean,"orthographic_noise, form_signal",2,mixed
soybean oil,soybean,"orthographic_noise, canonical_form, form_signal",3,mixed
added sugar,sugarcane,"orthographic_noise, form_signal",2,mixed
brown sugar,sugarcane,"form_signal, grade_signal",2,signal
sugar syrup,sugarcane,form_signal,1,signal
white sugar,sugarcane,"form_signal, grade_signal",2,signal
wheat cream,wheat,"canonical_form, form_signal",2,signal
rolled oats,oats,"canonical_form, process_signal, grade_signal",3,signal
orange pulp,orange,"canonical_form, grade_signal",2,signal
glazed peel,citrus,"form_signal, grade_signal",2,signal
citrus pulp,citrus,"canonical_form, grade_signal",2,signal
fennel seed,fennel,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
dried yeast,yeast,"canonical_form, process_signal, grade_signal",3,signal
whey powder,milk,form_signal,1,signal
carom seeds,carom,"orthographic_noise, canonical_form, form_signal, grade_signal",4,mixed
