variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags,ins_number,compound_name,nutrient_class,dairy_product_subtype,milling_grade,oil_fraction,protein_fraction,sugar_form,language_tag,f_revised,variant_signal_class
rye,rye,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
tvp,soybean,,protein concentrate,base ingredient,?extrusion,,,0.0,0.74,0.12,0.6,0.74,0.12,0.27,0.45,1,True,True,,,,,,,textured_plant_protein,,,processed_ingredient,"redundant_variant, out_of_scope, canonical_form, abbreviation_signal"
palm,palm,,whole/fresh pieces,base ingredient,,,,0.0,0.05,0.12,0.0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
oils,palm | soybean | sunflower | groundnut,,oil,lipid base,cold pressing|refining|solvent extraction,,,0.0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base,"canonical_form, form_signal, multi_source"
salt,mineral,,crystalline chemical,base ingredient,,,,0.0,0.98,0.12,0.0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,,raw_agricultural_material,"redundant_variant, canonical_form, form_signal"
sait,mineral,,crystalline chemical,base ingredient,,,,0.0,0.98,0.12,0.0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,fr,raw_agricultural_material,"orthographic_noise, linguistic_signal, canonical_form"
salz,mineral,,crystalline chemical,base ingredient,,,,0.0,0.98,0.12,0.0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,de,raw_agricultural_material,"orthographic_noise, linguistic_signal, canonical_form"
date,date,,whole/fresh pieces,base ingredient,,,sweetener,0.0,0.05,0.12,0.0,0.05,0.625,0.063,0.265,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
milk,milk,,,base ingredient,pasteurization,,,0.0,0.0,0.12,0.48,0.0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"redundant_variant, canonical_form, form_signal"
milk,milk,,,base ingredient,pasteurization,,,0.0,0.0,0.12,0.48,0.0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"redundant_variant, canonical_form, form_signal"
ragi,ragi,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,"transliteration_signal, canonical_form"
mint,mint,,whole/fresh pieces,taste profile / spice,,cut/sliced pieces,flavouring agent,0.0,0.05,0.18,0.0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
soya,soybean,,,base ingredient,,,,0.0,0.0,0.12,0.0,0.0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
urad,urad,,,base ingredient,,,,0.0,0.0,0.12,0.0,0.0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material,"transliteration_signal, canonical_form"
zinc,mineral,,crystalline chemical,base ingredient,,,,0.0,0.98,0.12,0.0,0.98,0.12,0.342,0.342,2,False,False,,,mineral_nutrient,,,,,,,raw_agricultural_material,"canonical_form, grade_signal, fortification_signal"
oats,oats,,,base ingredient,milling,flour/fine powder|flakes,,0.0,0.0,0.12,0.28,0.36,0.12,0.048,0.24,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
hing,asafoetida,,extract/oleoresin,taste profile / spice,?compounding,,flavouring agent,0.0,0.86,0.18,0.35,0.86,0.675,0.33,0.633,2,False,True,,,,,,,,,,taste profile / spice,transliteration_signal
peas,peas,,whole/fresh pieces,base ingredient,,cut/sliced pieces,thickener,0.0,0.05,0.12,0.0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
milk,milk,,,base ingredient,pasteurization,,,0.0,0.0,0.12,0.48,0.0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"redundant_variant, canonical_form, form_signal"
whey,milk,,whey powder,base ingredient,,,,0.0,0.52,0.12,0.0,0.52,0.12,0.204,0.204,1,False,False,,,,,,,,,,processed_ingredient,"canonical_form, form_signal"
amra,hog plum,,whole/fresh pieces,base ingredient,,,acidity regulator,0.0,0.05,0.12,0.0,0.05,0.86,0.063,0.359,1,True,False,,,,,,,,,,raw_agricultural_material,canonical_form
พริก,chili,,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0.0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice,linguistic_signal
curd,milk,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,fresh_curd,,,,,,processed_ingredient,"canonical_form, form_signal"
dahi,milk,fermentation,dense block,base ingredient,,,,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,fresh_curd,,,,,,processed_ingredient,"transliteration_signal, form_signal"
ghee,milk,churning|clarification,fat fraction,lipid base,,,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False,,,,,,,,,,lipid base,"transliteration_signal, form_signal"
lime,lime,,whole/fresh pieces,flavouring agent,,juice,acidity regulator,0.0,0.05,0.675,0.0,0.5,0.86,0.285,0.494,1,True,False,,,,,,,,,,flavouring agent,canonical_form
mace,mace,,,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0.0,0.0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
monk,monk fruit,,whole/fresh pieces,sweetener,,,flavouring agent,0.0,0.05,0.625,0.0,0.05,0.675,0.265,0.285,1,False,False,,,,,,,,,,sweetener,canonical_form
okra,okra,,whole/fresh pieces,base ingredient,,cut/sliced pieces,thickener,0.0,0.05,0.12,0.0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
plum,plum,,whole/fresh pieces,base ingredient,,,sweetener,0.0,0.05,0.12,0.0,0.05,0.625,0.063,0.265,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
rice,rice,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
paua,abalone,,whole/fresh pieces,base ingredient,,cut/sliced pieces,,0.0,0.05,0.12,0.0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material,transliteration_signal
poha,rice,,flakes,base ingredient,,,,0.0,0.36,0.12,0.0,0.36,0.12,0.156,0.156,1,False,False,,,,,,,,,,raw_agricultural_material,transliteration_signal
sago,sago,,starch flour,base ingredient,,,thickener,0.0,0.6,0.12,0.0,0.6,0.615,0.228,0.426,1,True,False,,,,,,,,,,processed_ingredient,"transliteration_signal, canonical_form"
rava,wheat,milling,coarse grits,base ingredient,,,,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False,,,,,semolina,,,,,raw_agricultural_material,"transliteration_signal, form_signal"
salt,mineral,,crystalline chemical,base ingredient,,,,0.0,0.98,0.12,0.0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,,raw_agricultural_material,"redundant_variant, canonical_form, form_signal"
atta,wheat,milling,flour/fine powder,base ingredient,,,,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False,,,,,whole,,,,,raw_agricultural_material,transliteration_signal
figs,fig,,whole/fresh pieces,base ingredient,,,sweetener,0.0,0.05,0.12,0.0,0.05,0.625,0.063,0.265,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
balm,balm,,whole/fresh pieces,taste profile / spice,,cut/sliced pieces,flavouring agent,0.0,0.05,0.18,0.0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
bran,wheat,milling,skim/defatted meal,base ingredient,,,,0.28,0.55,0.12,0.28,0.55,0.12,0.297,0.297,1,False,False,,,,,bran,,,,,processed_ingredient,"canonical_form, form_signal"
kale,kale,,whole/fresh pieces,base ingredient,,cut/sliced pieces,,0.0,0.05,0.12,0.0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
khoa,milk,,dense block,base ingredient,concentration,concentrate,,0.0,0.38,0.12,0.48,0.4,0.12,0.162,0.312,1,True,False,,,,heat_concentrated,,,,,,processed_ingredient,transliteration_signal
carot,carrot,,whole/fresh pieces,base ingredient,,cut/sliced pieces,,0.0,0.05,0.12,0.0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form"
cream,milk,churning,fat fraction,lipid base,,,,0.45,0.72,0.22,0.45,0.72,0.22,0.439,0.439,2,False,False,,,,,,,,,,lipid base,"canonical_form, form_signal"
dates,date,,whole/fresh pieces,base ingredient,,,sweetener,0.0,0.05,0.12,0.0,0.05,0.625,0.063,0.265,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form"
maida,wheat,milling,flour/fine powder,base ingredient,,,,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False,,,,,refined,,,,,raw_agricultural_material,transliteration_signal
mango,mango,,whole/fresh pieces,base ingredient,,pulp/puree,sweetener,0.0,0.05,0.12,0.0,0.25,0.625,0.063,0.325,1,True,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form"
dairy,milk,,,base ingredient,pasteurization,,,0.0,0.0,0.12,0.48,0.0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"redundant_variant, canonical_form, grade_signal"
khoya,milk,,dense block,base ingredient,concentration,concentrate,,0.0,0.38,0.12,0.48,0.4,0.12,0.162,0.312,1,True,False,,,,heat_concentrated,,,,,,processed_ingredient,"orthographic_noise, canonical_form"
bajra,pearl millet,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,transliteration_signal
jowar,sorghum,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,transliteration_signal
pista,pistachio,,whole/fresh pieces,base ingredient,roasting,,,0.0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False,,,,,,,,,,raw_agricultural_material,transliteration_signal
sugar,sugarcane,,crystalline chemical,sweetener,refining,,base ingredient,0.0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,refined_sucrose,,sweetener,"orthographic_noise, canonical_form, form_signal"
sucre,sugarcane,,crystalline chemical,sweetener,refining,,base ingredient,0.0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,refined_sucrose,fr,sweetener,"orthographic_noise, linguistic_signal, canonical_form"
đường,sugarcane,,crystalline chemical,sweetener,refining,,base ingredient,0.0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,refined_sucrose,vi,sweetener,linguistic_signal
kakvi,sugarcane,,concentrate,sweetener,concentration,,,0.0,0.4,0.625,0.48,0.4,0.625,0.37,0.514,2,False,False,,,,,,,,,,sweetener,transliteration_signal
wafer,wheat,?baking,flakes,base ingredient,,,,0.58,0.36,0.12,0.58,0.36,0.12,0.33,0.33,2,False,True,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal"
wheat,wheat,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,"redundant_variant, canonical_form"
kesar,saffron,drying,,colour,,powder,taste profile / spice,0.42,0.0,0.8,0.42,0.42,0.8,0.446,0.572,2,False,False,,,,,,,,,,colour|raw_agricultural_material,"transliteration_signal, grade_signal"
mater,peas,,whole/fresh pieces,base ingredient,,cut/sliced pieces,thickener,0.0,0.05,0.12,0.0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
yeast,yeast,fermentation,,raising agent,,powder,,0.56,0.0,0.475,0.56,0.42,0.475,0.358,0.484,2,False,False,,,,,,,,,,raising agent,"canonical_form, grade_signal"
apple,apple,,whole/fresh pieces,base ingredient,,juice,sweetener,0.0,0.05,0.12,0.0,0.5,0.625,0.063,0.4,1,True,False,,,,,,,,,,raw_agricultural_material,canonical_form
basil,basil,,whole/fresh pieces,taste profile / spice,,cut/sliced pieces,flavouring agent,0.0,0.05,0.18,0.0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
tulsi,tulsi,,whole/fresh pieces,taste profile / spice,,cut/sliced pieces,flavouring agent,0.0,0.05,0.18,0.0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice,"transliteration_signal, canonical_form"
beans,beans,,whole/fresh pieces,base ingredient,,cut/sliced pieces,thickener,0.0,0.05,0.12,0.0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal"
besan,chickpea,milling,flour/fine powder,base ingredient,,,thickener,0.28,0.33,0.12,0.28,0.33,0.615,0.231,0.429,1,True,False,,,,,,,,,,raw_agricultural_material,transliteration_signal
chana,chickpea,,whole/fresh pieces,base ingredient,,cut/sliced pieces,thickener,0.0,0.05,0.12,0.0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material,transliteration_signal
clove,clove,drying,,taste profile / spice,,powder,flavouring agent,0.42,0.0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
cocoa,cocoa,fermentation,,taste profile / spice,roasting,powder,flavouring agent,0.56,0.0,0.18,0.58,0.42,0.675,0.24,0.57,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
cumin,cumin,drying,,taste profile / spice,,powder,flavouring agent,0.42,0.0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
jeera,cumin,drying,,taste profile / spice,,powder,flavouring agent,0.42,0.0,0.18,0.42,0.42,0.675,0.198,0.522,1,True,False,,,,,,,,,,taste profile / spice,transliteration_signal
moong,mung bean,,whole/fresh pieces,base ingredient,,cut/sliced pieces,thickener,0.0,0.05,0.12,0.0,0.1,0.615,0.063,0.276,1,False,False,,,,,,,,,,raw_agricultural_material,transliteration_signal
guava,guava,,whole/fresh pieces,base ingredient,,pulp/puree,sweetener,0.0,0.05,0.12,0.0,0.25,0.625,0.063,0.325,1,True,False,,,,,,,,,,raw_agricultural_material,canonical_form
honey,honey,,dense block,sweetener,,,flavouring agent,0.0,0.38,0.625,0.0,0.38,0.675,0.364,0.384,2,False,False,,,,,,,,,,sweetener,"canonical_form, form_signal"
leeks,leek,,whole/fresh pieces,base ingredient,,cut/sliced pieces,flavouring agent,0.0,0.05,0.12,0.0,0.1,0.675,0.063,0.3,1,True,False,,,,,,,,,,raw_agricultural_material,canonical_form
lemon,lemon,,whole/fresh pieces,flavouring agent,,juice,acidity regulator,0.0,0.05,0.675,0.0,0.5,0.86,0.285,0.494,1,True,False,,,,,,,,,,flavouring agent,canonical_form
dairy,milk,,,base ingredient,pasteurization,,,0.0,0.0,0.12,0.48,0.0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material,"redundant_variant, canonical_form, grade_signal"
salts,mineral,,crystalline chemical,base ingredient,,,,0.0,0.98,0.12,0.0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form"
onion,onion,,whole/fresh pieces,base ingredient,,cut/sliced pieces,flavouring agent,0.0,0.05,0.12,0.0,0.1,0.675,0.063,0.3,1,True,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form"
sooji,wheat,milling,coarse grits,base ingredient,,,,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False,,,,,semolina,,,,,raw_agricultural_material,transliteration_signal
wheat,wheat,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,"redundant_variant, canonical_form"
supar,areca nut,,whole/fresh pieces,taste profile / spice,,cut/sliced pieces,flavouring agent,0.0,0.05,0.18,0.0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
thyme,thyme,,whole/fresh pieces,taste profile / spice,,cut/sliced pieces,flavouring agent,0.0,0.05,0.18,0.0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
water,water,,juice,base ingredient,,,,0.0,0.5,0.12,0.0,0.5,0.12,0.198,0.198,1,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal"
brine,mineral,,juice,base ingredient,,,preservative,0.0,0.5,0.12,0.0,0.5,0.885,0.198,0.504,1,True,False,,,,,,,,,,raw_agricultural_material,canonical_form
lupin,lupin,,,base ingredient,,,,0.0,0.0,0.12,0.0,0.0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
musli,safed musli,,,base ingredient,,whole/fresh pieces|powder,,0.0,0.0,0.12,0.0,0.42,0.12,0.048,0.174,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
oxide,mineral,,crystalline chemical,base ingredient,,,,0.0,0.98,0.12,0.0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,,raw_agricultural_material,"canonical_form, form_signal"
pipal,long pepper,,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0.0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice,"orthographic_noise, canonical_form"
spelt,spelt,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
carrot,carrot,,whole/fresh pieces,base ingredient,,cut/sliced pieces,,0.0,0.05,0.12,0.0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form"
turnip,turnip,,whole/fresh pieces,base ingredient,,cut/sliced pieces,,0.0,0.05,0.12,0.0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
cashew,cashew,,whole/fresh pieces,base ingredient,roasting,,,0.0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form, grade_signal"
garlic,garlic,,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0.0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
ginger,ginger,,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0.0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
sunthi,ginger,drying,powder,taste profile / spice,,,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False,,,,,,,,,,taste profile / spice,canonical_form
amchur,mango,drying,powder,taste profile / spice,,,acidity regulator,0.42,0.42,0.18,0.42,0.42,0.86,0.324,0.596,2,False,False,,,,,,,,,,taste profile / spice,"orthographic_noise, transliteration_signal"
millet,millet,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form"
quinoa,quinoa,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,"redundant_variant, canonical_form"
saamai,little millet,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
nachni,finger millet,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,transliteration_signal
fudina,mint,,whole/fresh pieces,taste profile / spice,,cut/sliced pieces,flavouring agent,0.0,0.05,0.18,0.0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
raisin,grape,drying,whole/fresh pieces,sweetener,,,flavouring agent,0.42,0.05,0.625,0.42,0.05,0.675,0.391,0.411,2,False,False,,,,,,,,,,sweetener,"orthographic_noise, canonical_form"
sesame,sesame,,,base ingredient,,,,0.0,0.0,0.12,0.0,0.0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
soynut,soybean,roasting,,base ingredient,,,,0.58,0.0,0.12,0.58,0.0,0.12,0.222,0.222,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form"
stevia,stevia,,,sweetener,,powder|extract/oleoresin,flavouring agent,0.0,0.0,0.625,0.0,0.86,0.675,0.25,0.528,1,True,False,,,,,,,,,,sweetener,canonical_form
sugars,sugarcane,,crystalline chemical,sweetener,refining,juice,base ingredient,0.0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,refined_sucrose,,sweetener,"orthographic_noise, canonical_form"
zucker,sugarcane,,crystalline chemical,sweetener,refining,juice,base ingredient,0.0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,refined_sucrose,de,sweetener,"linguistic_signal, canonical_form"
mishri,sugarcane,,crystalline chemical,sweetener,refining,,base ingredient,0.0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,raw_unrefined,hi,sweetener,transliteration_signal
waffle,wheat,,,base ingredient,?extrusion|baking,,,0.0,0.0,0.12,0.6,0.0,0.12,0.048,0.228,1,False,True,,,,,,,,,,raw_agricultural_material,"out_of_scope, canonical_form"
almond,almond,,whole/fresh pieces,base ingredient,roasting,cut/sliced pieces,,0.0,0.05,0.12,0.58,0.1,0.12,0.063,0.252,1,False,False,,,,,,,,,,raw_agricultural_material,"orthographic_noise, canonical_form, grade_signal"
dhania,coriander,,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0.0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
safron,saffron,drying,,colour,,powder,taste profile / spice,0.42,0.0,0.8,0.42,0.42,0.8,0.446,0.572,2,False,False,,,,,,,,,,colour|raw_agricultural_material,"orthographic_noise, canonical_form"
fennel,fennel,,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0.0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
ajwain,carom,,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0.0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice,transliteration_signal
ajowan,ajowan,,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0.0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
coffee,coffee,roasting,,flavouring agent,,powder|extract/oleoresin,taste profile / spice,0.58,0.0,0.675,0.58,0.86,0.675,0.444,0.702,2,True,False,,,,,,,,,,flavouring agent,canonical_form
banana,banana,,whole/fresh pieces,base ingredient,,pulp/puree,sweetener,0.0,0.05,0.12,0.0,0.25,0.625,0.063,0.325,1,True,False,,,,,,,,,,raw_agricultural_material,canonical_form
barley,barley,,,base ingredient,milling,flour/fine powder|coarse grits,,0.0,0.0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material,canonical_form
pepper,pepper,,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0.0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice,"redundant_variant, canonical_form"
brahmi,brahmi,,whole/fresh pieces,flavouring agent,,cut/sliced pieces|powder,,0.0,0.05,0.675,0.0,0.42,0.675,0.285,0.396,1,True,False,,,,,,,,,,flavouring agent,canonical_form
butter,milk,churning,fat fraction,lipid base,,,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False,,,,,,,,,,lipid base,"canonical_form, form_signal"
celery,celery,,whole/fresh pieces,taste profile / spice,,cut/sliced pieces,flavouring agent,0.0,0.05,0.18,0.0,0.1,0.675,0.087,0.3,1,True,False,,,,,,,,,,taste profile / spice,canonical_form
